packet_size,%count,%count
436,64.78076175,54.06006599
437,64.78656406,54.06607548
438,64.78991944,54.07177032
439,64.79957697,54.08183286
440,64.80388846,54.08780276
441,64.80773752,54.09575714
442,64.82059355,54.11023123
443,64.82564738,54.11871595
444,64.82935187,54.12623564
445,64.83307277,54.1320911
446,64.83747039,54.1383242
447,64.84052842,54.14297222
448,64.84374281,54.14891311
449,64.8470218,54.15350474
450,64.8507386,54.15822103
451,64.8559211,54.16304946
452,64.8595487,54.16888085
453,64.86272977,54.17418553
454,64.86871407,54.1804272
455,64.87389708,54.1863295
456,64.87850848,54.19520043
457,64.88327624,54.20055524
458,64.89541762,54.21110853
459,64.89982856,54.21706162
460,64.90366789,54.22170272
461,64.90736521,54.22625081
462,64.91263281,54.23167257
463,64.91913029,54.23627443
464,64.9256088,54.24644678
465,64.93207962,54.2518138
466,64.93758203,54.2572006
467,64.94170639,54.26186677
468,64.94674586,54.27023803
469,64.95119833,54.27841998
470,64.95803263,54.28457557
471,64.96456702,54.28979681
472,64.97075947,54.29366087
473,64.9757974,54.29784354
474,64.99016373,54.31036877
475,64.99636284,54.31497128
476,65.00244814,54.31955961
477,65.00918093,54.32397347
478,65.01621517,54.32920493
479,65.02335194,54.33428336
480,65.03066865,54.33839808
481,65.03640739,54.34296267
482,65.04289154,54.34797513
483,65.04957153,54.35249915
484,65.05613258,54.3573665
485,65.06163652,54.36232059
486,65.06779718,54.36888614
487,65.07578241,54.37517464
488,65.08064552,54.38093644
489,65.08597926,54.38661381
490,65.09860459,54.39804967
491,65.10569214,54.40319802
492,65.11166158,54.4087372
493,65.11650368,54.41369327
494,65.12354048,54.4194765
495,65.12891266,54.42468883
496,65.13383268,54.43054793
497,65.13821235,54.4357032
498,65.14940479,54.44157647
499,65.15368809,54.4484062
500,65.15778015,54.45508091
501,65.16195579,54.46423482
502,65.17092738,54.47128486
503,65.17633288,54.47720068
504,65.18083098,54.48241829
505,65.18554389,54.49006924
506,65.19895513,54.50205094
507,65.20488817,54.50799974
508,65.21011937,54.51338589
509,65.21465233,54.51830765
510,65.21983073,54.52359683
511,65.2253439,54.52903311
512,65.23102009,54.53616395
513,65.2361785,54.548238
514,65.24323324,54.55445889
515,65.24773647,54.55961351
516,65.25228634,54.56474471
517,65.25908629,54.56965955
518,65.26426059,54.57537847
519,65.26979581,54.5809536
520,65.27449077,54.5858945
521,65.279298,54.59097589
522,65.29171621,54.60450375
523,65.2962584,54.61321967
524,65.30024742,54.61877335
525,65.30810654,54.62474623
526,65.31594411,54.64463878
527,65.32051501,54.64984385
528,65.32700326,54.65522208
529,65.3317782,54.66082623
530,65.336305,54.67844143
531,65.3404063,54.68394565
532,65.34571645,54.69019392
533,65.35062314,54.69570803
534,65.35521711,54.70173829
535,65.36029349,54.70803933
536,65.36457576,54.71337699
537,65.36872576,54.71929413
538,65.37923584,54.73123032
539,65.38513761,54.73637669
540,65.39001098,54.74161277
541,65.39424505,54.74656883
542,65.39929272,54.75254798
543,65.40388823,54.75768775
544,65.42306641,54.76375265
545,65.42721025,54.76898609
546,65.43202774,54.81457322
547,65.43642125,54.81980996
548,65.45727635,54.82465554
549,65.46304124,54.83060599
550,65.46832576,54.83688658
551,65.4767934,54.8430237
552,65.48143658,54.85043818
553,65.48567373,54.85665116
554,65.49566398,54.86706857
555,65.50050453,54.873926
556,65.50552401,54.87916076
557,65.50994469,54.88417224
558,65.51784738,54.8925811
559,65.52211273,54.89935409
560,65.52630477,54.90623527
561,65.53107406,54.91125598
562,65.5367841,54.91701745
563,65.54078337,54.92250847
564,65.54479085,54.9279652
565,65.54892752,54.93339322
566,65.55467395,54.93981135
567,65.55981493,54.94621759
568,65.56434174,54.95101008
569,65.56859734,54.95572176
570,65.57812107,54.96589379
571,65.60132621,54.98819461
572,65.60565564,54.99355272
573,65.61048902,54.99857607
574,65.61669223,55.00450772
575,65.6216712,55.00970225
576,65.62616315,55.01513984
577,65.63089297,55.02101245
578,65.63624414,55.03263367
579,65.64103343,55.03795286
580,65.64538644,55.04288123
581,65.65045821,55.04858531
582,65.65688597,55.05421255
583,65.70881813,55.09986432
584,65.71339056,55.10521484
585,65.71756773,55.11139022
586,65.72707915,55.12214998
587,65.73198431,55.12839066
588,65.7371381,55.13523819
589,65.74277482,55.14142215
590,65.76031812,55.16003437
591,65.76633882,55.16814871
592,65.77119117,55.17475911
